0003	Does P=BPP: can every polynomial-time bounded-error randomized decision algorithm be replaced by a deterministic polynomial-time algorithm?
0004	Can directed s–t reachability be decided in deterministic O(log n) working space, equivalently L=NL?
0005	Does the permanent have polynomial-size arithmetic circuits over ℂ, equivalently VP_ℂ=VNP_ℂ?
0006	For every constant completeness and soundness gap, is the corresponding large-alphabet Unique Games promise problem NP-hard?
0007	Is the exponent of exact matrix multiplication over ℂ equal to two?
0008	Does rational linear programming have a strongly polynomial algorithm, with polynomial intermediate bit lengths?
0010	Is there an explicit family of constant-degree n-variable polynomials requiring ω(n) arithmetic circuit size? The source draft still needs a precise field and explicitness convention.
0011	Does every instance of indivisible goods with additive nonnegative valuations admit a complete EFX allocation, including arbitrarily many agents?
0013	Do constant-alphabet tree codes with positive constant relative distance admit polynomial-time encoding and decoding? Distance is measured on suffixes after two input histories diverge; the decoding noise convention remains in the source draft.
0017	Is L(g∘f)≥cL(g)L(f) for a universal c>0, where L is Boolean formula size and composition uses disjoint input blocks?
0020	Does EXP contain a language with no polynomial-size Boolean circuits?
0021	Does NP contain a language with no polynomial-size Boolean circuits?
0025	Are shortest proofs of propositional tautologies in unrestricted Frege systems sometimes superpolynomial in the formula length?
0029	What is the largest possible separation between bounded-error randomized and quantum query complexity for total Boolean functions?
0033	Is bounded-error quantum query complexity polynomially bounded by approximate degree for every partial Boolean function, when the approximating polynomial is bounded on the entire Boolean cube?
0034	What is the optimal quantum query–space tradeoff for collision detection and element distinctness, accounting separately for quantum memory and classically stored data accessible in superposition?
0054	Can random tensor decomposition be performed in polynomial time all the way to its information-theoretic uniqueness threshold? The tensor distribution and recovery criterion remain to be specified in this existing draft.
0164	Is equivalence decidable for two unambiguous context-free grammars?
0171	Is satisfiability of word equations in NP? Variables range over finite strings and equality means equality after simultaneous substitution.
0318	What is the asymptotic maximum number of k-element subsets strictly separable by a line from the remaining points of an n-point planar set in general position?
0388	Can all n² pairwise sums x_i+y_j of two real n-element lists be sorted in O(n²) time on a uniform real RAM?
0403	For every fixed dimension d, can the exact Euclidean minimum spanning tree of n points be computed in O(n polylog n) time? This is the near-linear interpretation of the source’s geometric MST question.
0408	What is the optimal exact running time for minimum-total-length perfect matching of 2n points in the Euclidean plane? Approximate matching does not settle this target.
0410	Can the convex hull of n points in every fixed dimension be computed in O(n log(f+2)+f) time, where f is the number of output facets?
0411	Can point location in a three-dimensional polyhedral subdivision with n faces use O(n) space and O(log n) query time?
0467	Can random access in an LZ77-compressed string of length N use O(z) words and O(log N) worst-case query time, where z is its parse size?
0468	Can occurrence of an explicit m-symbol pattern in an LZ77-compressed text with z phrases be decided in O(z+m) time, including preprocessing?
0470	Can a string generated by a grammar of g rules support O(log N)-time random access using only O(g log g) bits in total?
0478	Can exact fully dynamic directed all-pairs shortest paths have Õ(m) amortized update time and polylogarithmic query time for positive polynomially bounded integer weights?
0481	Must every min-plus circuit computing one exact pair distance in an n-vertex complete undirected weighted graph have Ω(n³) gates?
0488	Are the entropic upper bounds on database-query output size computable to arbitrary accuracy from the query and its entropy constraints?
0491	For every fixed k, can a fixed point of an oracle-given monotone map [n]^k→[n]^k be found using O_k(log² n) deterministic queries?
0492	Is containment of conjunctive queries under bag semantics decidable over all finite bag databases?
0494	Does bounded derivation depth for existential database rules imply finite controllability: does every failed query entailment have a finite countermodel?
0497	Is it decidable whether a path query is determined by views that are unions of path queries, over finite databases?
0506	Can every finite Boolean class be privately PAC learned with sample complexity polynomial in its VC dimension and the iterated logarithm of its Littlestone dimension?
0507	What is the optimal gap-dependent expected pseudo-regret for pure-DP stochastic full-information prediction, as a joint function of action count K, horizon T, privacy ε and smallest positive mean-loss gap Δ?
0510	Does every finite-Littlestone-dimension concept class admit differentially private online learning with a mistake bound independent of the sequence length? The source’s privacy and transcript conventions must be retained.
0553	Can all inclusion-minimal dominating sets of an arbitrary graph be enumerated in time polynomial in the input plus total output size?
0557	Does 3SUM on n real numbers have an O(n^{2−ε}) algorithm for some constant ε>0 in the real-RAM model?
0655	Can polynomial-factor approximate SVP be proved hard under a standard named complexity assumption? This source draft needs the approximation exponent, norm and precise assumption fixed before it is a single proposition.
0659	Can worst-case reductions to SIS or LWE establish hardness from lattice approximation factors substantially smaller than the current near-linear factors? The precise parameter target remains a source draft.
0677	Can every size-s decision tree be properly PAC learned in poly(n,s,1/ε) time, with a polynomial-size decision tree as the output hypothesis?
0679	Does every VC-dimension-d binary class admit a proper agnostic learner with O(d) conditional mutual information and O(√(d/n)) expected empirical excess loss?
0691	Is recursive teaching dimension at most C times VC dimension for every finite concept class, for a universal constant C?
0708	What is the minimax regret in horizon H and episode count T for kernel-based episodic MDPs satisfying the source’s RKHS transition assumption?
0711	Can contextual bandits simultaneously achieve regret O(√(KT(log|Π_m|+log m))) to every class in an arbitrary nested sequence Π₁⊂⋯⊂Π_M?
0848	Can submodularity of a real-valued function on {0,1}^n be tested with poly(n,1/ε) value queries, using distance defined by the fraction of function values that must change?
0861	Is QMA(2), with two unentangled quantum witnesses, contained in bounded-error quantum exponential time?
0862	Are constant-round quantum refereed games decidable in polynomial space?
0935	For each fixed number m≥3 of identical machines, can precedence-constrained unit-job makespan be optimized in polynomial time?
0946	Does every weighted n-vertex hypergraph have a (1±ε) cut sparsifier with O(n/ε²) hyperedges, with no extra logarithmic factor?
0949	Does Boolean matrix–vector multiplication require ω(n) cell probes per query when an n×n Boolean matrix is stored succinctly with only o(n²) redundancy?
0973	Can planar Earth Mover Distance between two equal-cardinality subsets of [n]² be approximated within a constant factor using polylog(n)-bit randomized sketches?
0984	Can deterministic ℓ₂/ℓ₁ sparse recovery achieve O(k log(n/k)) measurements and O(n polylog n) decoding time with a universal constant approximation guarantee?
1004	Does counting the satisfying assignments of a DNF admit a deterministic fully polynomial relative-approximation scheme?
1005	Can BPP be simulated deterministically in subexponential time without an unproved hardness assumption?
1011	Can full-length Reed–Solomon codes have polynomial-size lists beyond the Johnson radius at some fixed positive rate?
1013	Can lossless bipartite expanders simultaneously have polylogarithmic left degree D and only O(KD) right vertices for expansion of K-element sets?
1015	Can seeded extractors have logarithmic seed length and constant total entropy loss, at constant statistical error?
1016	Can constant-error seeded extractors have seed length log₂n+O(1) while outputting Ω(k) bits from min-entropy k?
1018	Can hardness-to-randomness generators preserve seed length within a constant factor of the hard function’s input length at optimal polynomial stretch?
1020	Do binary constant-query locally decodable codes exist with polynomial blocklength and a positive constant noise tolerance?
1022	Does deterministic polynomial-time derandomization of promise-BPP imply a language in NEXP requiring circuits of size 2^{n^{Ω(1)}}?
1024	Can deterministic extraction handle circuit-samplable sources below half entropy under a precisely stated hardness assumption? The current source draft does not yet fix that assumption.
1033	Does polynomial-query testability of a dense graph property imply polynomial-query additive estimation of its distance from that property?
1043	Is deterministic communication for clique-versus-independent-set intersection superlogarithmic for some n-vertex graphs?
1046	Does three-party number-on-the-forehead set disjointness require ω(log³ n) randomized communication?
1053	Is there an explicit Boolean function family requiring depth-three AND/OR circuits of size 2^{ω(√n)}?
1098	Can one prove that PV₁ proves no sentence asserting correctness of a polynomial-time SAT decision algorithm?
1099	Can two levels of Buss’s bounded-arithmetic hierarchy be proved distinct? The exact theory pair and separation convention remain to be fixed in the existing source draft.
1337	Does some family of Reed–Solomon evaluation sets admit polynomial-time list decoding beyond the Johnson radius against worst-case adversarial errors?
1529	Is there one online probabilistic forecaster with optimal regret simultaneously for every bounded proper scoring rule, up to a universal constant?
2732	Is there a perfectly secure three-server distributed point function on an N-point domain with N^{o(1)} bits per server key?
3416	Can a wait-free linearizable queue be implemented using only objects of consensus number two, for arbitrarily many processes?
4245	Can the winner of every finite parity game be computed in deterministic polynomial time?
5358	Can polynomial-size DNF formulas be PAC learned in polynomial time from random labeled examples under every input distribution?
5501	Is the Minimum Circuit Size Problem NP-hard under deterministic polynomial-time many-one reductions, when a function is given by its full truth table?
5773	Is it decidable whether an integer linear recurrence sequence ever has a zero term?
6446	Is approximating the ground energy of bounded-locality Hamiltonians within a constant additive gap QMA-hard, when the Hamiltonian is normalized by its number of terms?
6447	Does every QMA promise problem admit a constant-round strong quantum interactive oracle proof with polynomial communication and O(1) queries?
6448	Is QMA=QCMA: can a classical witness replace a quantum witness for every polynomial-time quantum verification problem?
6449	Is BQP/qpoly=BQP/poly: can polynomial classical advice always replace polynomial quantum advice?
6450	For every total two-party Boolean function, is bounded-error randomized communication polynomially bounded by quantum communication with unlimited shared entanglement?
6454	Does worst-case hardness of binary Nearest Codeword imply average-case hardness of low-noise LPN at the atlas’s specified polynomial sample and noise parameters?
6455	Does every polynomial-space computation taking time T have an interactive proof with a polynomial-input-time verifier and an honest prover running in poly(T) time?
6498	Are splay trees constant-competitive with the best offline binary search tree for every access sequence, allowing an additive initialization cost?
6499	Can randomized LOCAL algorithms find a maximal independent set on every n-vertex graph in o(log n) rounds with high probability?
6500	For every integer k≥2, are there arbitrarily large n-vertex graphs of girth greater than 2k with Ω_k(n^{1+1/k}) edges?
6504	Can perfect matching in general graphs be constructed by logspace-uniform polynomial-size circuits of polylogarithmic depth, without randomness?
6505	Must distinguishing one long cycle from two equal-length cycles take Ω(log n) rounds in low-memory MPC?
6506	Can deterministic LOCAL algorithms find an MIS on every n-vertex graph in O(log n) rounds?
6507	Can parallel directed reachability use near-linear total work and polylogarithmic depth on arbitrary sparse graphs?
6511	Can a perfect matching with exactly k red edges be found, or ruled out, deterministically in polynomial time in a red/blue general graph?
6513	Does the smallest grammar generating a given explicit string admit a polynomial-time constant-factor approximation?
6516	Does every uniformly gapped local Hamiltonian with a unique ground state on a two-dimensional lattice obey an entanglement entropy area law?
6518	Does a bipartite state with negative partial transpose exist from which no entanglement can be distilled, even using arbitrarily many copies?
6520	Is the unassisted quantum capacity of every effectively described finite-dimensional quantum channel computable to arbitrary additive accuracy?
6523	Does every isotropic log-concave measure have a Poincaré constant bounded independently of dimension, as conjectured by Kannan, Lovász and Simonovits?
6524	Does every doubling subset of Hilbert space embed bi-Lipschitz into a finite-dimensional Euclidean space with dimension and distortion depending only on its doubling constant?
6525	For every fixed excluded minor H, do all shortest-path metrics of H-minor-free graphs embed into ℓ₁ with distortion bounded only by H?
6526	What is the optimal dependence on ε of the size of weak ε-nets for convex ranges in each fixed Euclidean dimension?
6527	Can every weighted graph with designated terminals be reduced to a minor on exactly those terminals while preserving all terminal distances within a universal constant factor?
6529	What is the optimal ℓ₁ embedding distortion of planar Earth Mover Distance on an n×n grid?
6532	Is the polynomial hierarchy strict at every finite level?
6533	Is NL=UL: can every nondeterministic logarithmic-space decision problem be solved with at most one accepting computation per input?
6535	Is nonuniform TC⁰ strictly weaker than NC¹?
6536	Can a minimum spanning tree of an arbitrary real-weighted graph be computed deterministically in O(m+n) comparison-RAM time?
6537	Can n word-sized integers be sorted in expected O(n) time on a uniform word RAM for every word length w≥log n?
6538	Can an exact maximum-cardinality matching in a general graph be computed in randomized (m+n)^{1+o(1)} time?
6540	Is there an explicit static data-structure problem with logarithmic-size queries requiring ω(log n) probes with near-linear storage?
6541	Does every Boolean class of VC dimension d have a labeled sample compression scheme using O(d) examples and side-information bits?
6542	Can an arbitrary parity on n bits be learned in polynomial time from uniform examples corrupted by any fixed noise rate below one half?
6543	Can every k-junta on n Boolean variables be learned from uniform examples in time polynomial in n, 2^k and 1/ε?
6546	Does existence of one-way functions imply existence of full-domain one-way permutations?
6547	Do arbitrary one-way functions imply collision-resistant hash functions in the standard model?
6548	Does IND-CPA public-key encryption imply IND-CCA2 public-key encryption without extra assumptions or setup?
6549	Does public-key encryption imply oblivious transfer secure against a semi-honest corruption of either participant?
6550	Does ordinary polynomial-hard LWE alone imply indistinguishability obfuscation for all polynomial-size Boolean circuits?
6551	Does ordinary LWE alone imply compact, unleveled fully homomorphic encryption without a circular-security assumption?
6552	Do one-way functions imply reusable adaptive noninteractive zero-knowledge arguments for NP in the common-reference-string model?
6554	Can the distributed Lovász Local Lemma be solved in O(log log n) randomized LOCAL rounds under a fixed polynomial slack condition and bounded dependency degree?
6555	Can exact weighted SSSP in CONGEST be solved in Õ(√n+D) rounds on every undirected network of hop diameter D?
6556	Can directed reachability be decided with near-linear streaming memory and polylogarithmically many passes over an adversarially ordered edge stream?
6557	Does an explicit polynomial-time graph predicate require ω(1) deterministic rounds in the unicast congested clique?
6558	Does every synchronizing n-state deterministic finite automaton have a reset word of length at most (n−1)²?
6559	Is there a regular language whose generalized star height is greater than one, when complement does not count toward star height?
6561	Is membership decidable in every fixed level of the dot-depth hierarchy of regular languages?
6562	Is satisfiability of word equations together with linear constraints on variable lengths decidable?
6563	Is equivalence decidable for deterministic macro tree transducers?
6564	Is it decidable whether a regular language of finite trees is first-order definable?
6566	Is the unbounded Continuous Skolem problem decidable: can one decide whether a specified coordinate of a rational linear differential system ever becomes zero?
6567	Can simple stochastic games be solved in polynomial time?
6568	Can the threshold winner of an arbitrary finite mean-payoff game be computed in polynomial time?
6569	Can ordinary homotopy type theory internally define a uniform tower of semisimplicial types at all finite dimensions, without adding a second strict equality?
6570	Does a Scott-continuous model of the untyped lambda calculus have equational theory exactly beta-conversion?
6572	Does some simplex pivot rule solve every rational linear program in polynomial bit complexity?
6573	Is the edge-graph diameter of every d-dimensional polyhedron with n facets bounded by a polynomial in n and d?
6574	Is exact feasibility of rational semidefinite programs decidable in polynomial bit complexity, including degenerate instances without an interior-point promise?
6575	Is there a deterministic k-competitive online strategy for k-server on every metric space?
6576	What is the optimal dimension dependence of the competitive ratio for online convex body chasing?
6577	What is the minimax joint dependence on dimension d and horizon T of regret in adversarial bandit convex optimization?
