candidate_id,other_candidate_id,source_url,other_source_url,similarity,action
03c0b4cef9600507,e708820efce52bcd,https://doi.org/10.4230/LIPIcs.DISC.2021.22,https://doi.org/10.4230/LIPIcs.OPODIS.2025.14,0.7056,possible lexical overlap; mathematical equivalence not assessed
8f3bc95cdad47411,438c796e3a6ba0f0,https://doi.org/10.4230/LIPIcs.ESA.2021.72,https://doi.org/10.4230/LIPIcs.IPEC.2023.28,0.7048,possible lexical overlap; mathematical equivalence not assessed
f563d4dbc1358228,e9ca17064aee0b05,https://doi.org/10.4230/LIPIcs.OPODIS.2019.8,https://doi.org/10.4230/LIPIcs.OPODIS.2020.33,0.7978,possible lexical overlap; mathematical equivalence not assessed
f4a3741d7ff603fc,4e60802d6bb30dea,https://doi.org/10.4230/LIPIcs.MFCS.2018.37,https://doi.org/10.4230/LIPIcs.ESA.2026.152,0.7268,possible lexical overlap; mathematical equivalence not assessed
6c4defc89a569703,0f37177e7aa8cc08,https://doi.org/10.4230/LIPIcs.ICALP.2017.14,https://doi.org/10.4230/LIPIcs.ESA.2021.16,0.7163,possible lexical overlap; mathematical equivalence not assessed
9937c2a88244c2e5,ae63a473e6852428,https://doi.org/10.4230/LIPIcs.ICALP.2017.88,https://doi.org/10.4230/LIPIcs.CSL.2026.36,0.7612,possible lexical overlap; mathematical equivalence not assessed
9937c2a88244c2e5,6c4defc89a569703,https://doi.org/10.4230/LIPIcs.ICALP.2017.88,https://doi.org/10.4230/LIPIcs.ICALP.2017.14,0.7106,possible lexical overlap; mathematical equivalence not assessed
9937c2a88244c2e5,d879f4bc841ecf49,https://doi.org/10.4230/LIPIcs.ICALP.2017.88,https://doi.org/10.4230/LIPIcs.ESA.2018.54,0.6739,possible lexical overlap; mathematical equivalence not assessed
182175a51fa8cbc9,438c796e3a6ba0f0,https://doi.org/10.4230/LIPIcs.STACS.2017.50,https://doi.org/10.4230/LIPIcs.IPEC.2023.28,0.7524,possible lexical overlap; mathematical equivalence not assessed
182175a51fa8cbc9,171465bb9e6b943f,https://doi.org/10.4230/LIPIcs.STACS.2017.50,https://doi.org/10.4230/LIPIcs.ESA.2020.65,0.6649,possible lexical overlap; mathematical equivalence not assessed
d8f759c5359f4c0b,182175a51fa8cbc9,https://doi.org/10.4230/LIPIcs.IPEC.2016.10,https://doi.org/10.4230/LIPIcs.STACS.2017.50,0.6503,possible lexical overlap; mathematical equivalence not assessed
