candidate_id,source_url,reason
677bc5f9aa0816e6,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.128,No sufficiently specific unresolved question sentence survived automatic screening.
4a563b723fd6168b,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.144,No sufficiently specific unresolved question sentence survived automatic screening.
8bec5aaa2275aaca,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.144,No sufficiently specific unresolved question sentence survived automatic screening.
ffc6a1224b7ffaae,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.160,No sufficiently specific unresolved question sentence survived automatic screening.
20f9c33623c0042d,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.192,No sufficiently specific unresolved question sentence survived automatic screening.
92d5778750a58a65,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.48,No sufficiently specific unresolved question sentence survived automatic screening.
98f46414fb23659b,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.596,No sufficiently specific unresolved question sentence survived automatic screening.
c40ca72e997c5aeb,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.596,No sufficiently specific unresolved question sentence survived automatic screening.
b7c64dcb64a9eb34,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.64,No sufficiently specific unresolved question sentence survived automatic screening.
40ab42fb758d7112,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.654,No sufficiently specific unresolved question sentence survived automatic screening.
1a04f6f149282d3f,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.654,No sufficiently specific unresolved question sentence survived automatic screening.
b3d7d7fbfa6fd2a9,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2014.96,No sufficiently specific unresolved question sentence survived automatic screening.
07bcc686a1729c8b,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.124,No sufficiently specific unresolved question sentence survived automatic screening.
399eef2fb6d43f1d,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.225,No sufficiently specific unresolved question sentence survived automatic screening.
2b8695301acd0784,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.305,No sufficiently specific unresolved question sentence survived automatic screening.
fd391c885bbe971d,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.416,No sufficiently specific unresolved question sentence survived automatic screening.
d482311848e2f3ad,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.544,No sufficiently specific unresolved question sentence survived automatic screening.
5f48ee626fd4606f,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.591,No sufficiently specific unresolved question sentence survived automatic screening.
b3ae9b90bdf37759,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.625,No sufficiently specific unresolved question sentence survived automatic screening.
94c8eb26bebe35be,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.680,No sufficiently specific unresolved question sentence survived automatic screening.
acf14c46f9a4dcc8,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.943,No sufficiently specific unresolved question sentence survived automatic screening.
eca9459befa42b61,https://doi.org/10.4230/LIPIcs.APPROX-RANDOM.2015.96,No sufficiently specific unresolved question sentence survived automatic screening.
