volume_url,volume_title,year,venue,paper_count
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-392,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2026)",2026,APPROX/RANDOM,78
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-391,37th International Conference on Concurrency Theory (CONCUR 2026),2026,CONCUR,49
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-390,26th International Conference on Algorithms for Bioinformatics (WABI 2026),2026,WABI,31
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-389,"21st Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2026)",2026,TQC,8
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-388,34th Annual European Symposium on Algorithms (ESA 2026),2026,ESA,160
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-386,51st International Symposium on Mathematical Foundations of Computer Science (MFCS 2026),2026,MFCS,100
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-385,7th Conference on Information-Theoretic Cryptography (ITC 2026),2026,ITC,12
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-384,31st International Conference on Types for Proofs and Programs (TYPES 2025),2025,TYPES,15
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-383,41st Computational Complexity Conference (CCC 2026),2026,CCC,42
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-378,11th International Conference on Formal Structures for Computation and Deduction (FSCD 2026),2026,FSCD,34
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-377,29th International Conference on Theory and Applications of Satisfiability Testing (SAT 2026),2026,SAT,43
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-374,"53rd International Colloquium on Automata, Languages, and Programming (ICALP 2026)",2026,ICALP,192
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-373,5th Symposium on Algorithmic Foundations of Dynamic Networks (SAND 2026),2026,SAND,27
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-371,24th International Symposium on Experimental Algorithms (SEA 2026),2026,SEA,28
https://drops.dagstuhl.de/entities/volume/LIPIcs-volume-370,20th Scandinavian Symposium on Algorithm Theory (SWAT 2026),2026,SWAT,40
