1152	Upper Clique Transversal on permutation graphs	Jedna maximalizační varianta transverzály v omezené grafové třídě má menší dosah než obecné transverzální a grafové algoritmické bariéry.
1154	Subexponential Face Cover by solution size	Zpřesňuje parametrickou závislost u specifického pokrývání stěn; obecné planární parametrizované problémy jsou silnější kandidáti.
1232	Worst-case updates in weak binary search trees	Optimalizuje aktualizace jedné alternativní stromové reprezentace; hlavní otevřené otázky adaptivity a optimality vyhledávacích stromů mají přednost.
1347	Bounded iterations of multiobjective temporal label correction	Požadavek omezuje konkrétní algoritmickou metodu v současně vícecílovém a časovém modelu; obecná složitost cest je zásadnější.
1483	Limited future information for random-hypergraph independent sets	Zkoumá překročení konkrétního prahu přidáním dílčí znalosti budoucnosti; jde o další informační variantu jedné náhodné úlohy.
1561	Trading parameters in low-sensitivity hopsets	Uložená otázka ladí kompromis parametrů již téměř těsné konstrukce. Základní velikostní a délkové bariéry hopsetů mají větší prioritu.
1637	Worst-case errors for consecutive-interval amortized LDCs	Přenáší konstrukci specifických amortizovaných lokálních kódů do dalšího chybového režimu; obecné LDC bariéry jsou důležitější.
1658	Split and Merge in a lazy-B-tree gap structure	Rozšiřuje podpůrnou strukturu o dvě operace; samostatné místo by z obecného problému datových struktur udělalo seznam implementačních podúloh.
1667	Less space for two-dimensional LCE	Záznam žádá méně prostoru, ale neudává cílovou mez; obecné LCE a kompresní hranice jsou lépe vymezené problémy.
1671	Polynomial kernels for Prison-free Edge Editing	Jedna zakázaná konfigurace vymezuje další položku katalogu edge-editing kernelů, nikoli hlavní kompresní bariéru parametrizované složitosti.
1939	The optimal modularity-expansion function	Přesné propojení dvou grafových měr je jemná strukturální otázka; základní algoritmické problémy komunit a řezů mají větší dosah.
1958	Hard half-space separation at Carathéodory number two	Hledá vhodnou „přirozenou“ grafovou konvexitu s konkrétním parametrem; cílem je speciální modelový příklad, ne obecná geometrická bariéra.
1966	Stable matching under two-sided uncertainty	Formulace otevírá všechny zbývající varianty stabilního i optimálního párování. Bez konkrétní úlohy a informačního cíle jde o výzkumný program.
1999	Different steady-state throughputs in splitter networks	Existence dvou propustností v jednom síťovém formalismu má užší dosah než obecné tokové a dynamické síťové otázky.
2009	Subexponential Two-Sets Cut-Uncut	Zpřesňuje závislost na počtu terminálů u zvláštní řezové úlohy; hlavní parametrizované řezy mají přednost.
2088	Parameterized Matching Match Puzzle	Výběr grafových tříd a počet barev parametrizují konkrétní puzzle; to nesplňuje požadovanou zásadnost pro top 1000.
2096	Unit d-interval versus disjoint balanced representations	Porovnání dvou omezených geometrických reprezentací je specializovaný klasifikační problém bez hlavního algoritmického důsledku v záznamu.
2157	Higher-degree SoS bounds on noisy Johnson graphs	Hledá další vhodné instance pro jednu důkazovou techniku. Obecné Unique Games a SoS bariéry mají přednost před konkrétní rodinou svědků.
