0641	Variants of one-counter universality	Záznam zastřešuje neurčené varianty, místo aby vybral jednu hranici modelu; konkrétní univerzalitní a ekvivalenční otázky již atlas obsahuje.
0888	Sufficient conditions for modular confluence	Libovolné nové postačující podmínky nemají jedno kritérium úplného řešení; jde o široký program dílčích vět.
0890	Decidable confluence conditions for graph rewriting	Hledá další postačující podmínky bez určené hlavní třídy; konkrétní rozhodnutelnost konfluence je vhodnější jednotka výběru.
0895	Decidable Church-Rosser criteria for left-linear rewriting	Nežádá úplnou charakterizaci ani konkrétní kritérium, takže záznam může pokrývat neomezené množství navazujících výsledků.
0908	Complexities of various term-ordering problems	Souhrn několika neurčených rozhodovacích úloh není jeden samostatný zásadní problém.
1204	A two-clock extension of parametric disjunctive networks	Rozšiřuje konkrétní rozhodnutelný případ o jednu hodinu; hlavní timed-network a parametric-verification bariéry mají přednost.
1227	Inhabitation complexity of system R	Přesná složitost jednoho bounded-parallel intersection systému je specializovanější než hlavní typová inhabitační a normalizační otázka.
1519	Lafont exponentials in web models	Zkoumá jednu kategoriální vlastnost konstrukce konkrétního modelu lineární logiky; obecná úplnost a výpočetní interpretace jsou zásadnější.
1597	Residual classes of lambda-calculus filter models	Zbývající kombinace modelových vlastností doplňují lokální klasifikaci; hlavní otázku modelové úplnosti lambda kalkulu ponechávám.
1682	Inhabitation in a fuzzy intersection type system	Jde o rozhodnutelnost nově zvoleného fuzzy typového formalismu; standardní typové systémy a jejich hlavní bariéry mají přednost.
1683	Pullbacks in perfect operator categories	Klasifikace pomocných kategorií podle stability monomorfismů a pullbacků je technický konstrukční problém, ne hlavní sémantická bariéra.
1701	Finite axioms between ready simulation and failures	Souběh konkrétního úseku behaviorální hierarchie a nekonečné abecedy je úzké rozšíření konečné axiomatizace.
1794	An operational account of one lambda theory	Hledá operacionalizaci teorie indukované konkrétním modelem E; obecná korespondence operační a denotační sémantiky má větší dosah.
1993	FO[<,E] inside simple GHyperLTL	Jedno zahrnutí mezi specifickými hyperlogickými fragmenty je dílčí expresivní otázka.
2082	Larger realizability algebras for large cardinals	Otázka „co se stane“ po zvětšení algebry neurčuje konkrétní konzistenční nebo interpretační tvrzení; jde o výzkumný směr.
2174	Which termination orders suffice for a reachability analysis?	Volí mezi důkazovými technikami pro konkrétní analýzu; samotná složitost term-reachability je významnější než úspěch vybraného uspořádání.
2320	Composition of strongly finitary metric endofunctors	Uzávěr jedné technické funktorové třídy je stavební lemma pro sémantický formalismus, s užším dosahem než hlavní modelové otázky.
