0696	Boosting lower bounds with Hadamard matrices	Předepisuje konkrétní konstrukci pro dolní mez; obecná optimální složitost boostingu je důležitější než úspěch jedné důkazové cesty.
0697	Does AdaBoost always cycle?	Asymptotický cyklus konkrétní aktualizační procedury je zajímavá dynamika algoritmu, ale slabší kandidát než obecná naučitelnost a vzorková složitost.
1310	Choosing robustness notions for linear reconstruction	Nejprve žádá zvolit správnou definici robustnosti; bez ní není určena jedna otázka ani kritérium jejího vyřešení.
1360	Accelerating constrained non-Euclidean star-convex optimization	Přenáší zrychlení do kombinace dalších geometrických a omezujících předpokladů; obecná optimalita nekonvexní optimalizace má přednost.
1542	Reweighting for short prediction certificates	Hledá obecnou reweightingovou metodu pro jednu aplikaci vysvětlování predikcí; nezadává konkrétní hlavní naučitelnostní bariéru.
1942	Extremal dual VC dimension of extremal classes	Přesné dosažení meze duální dimenze je pomocná strukturální otázka pro jednu cestu ke kompresi; samotná kompresní domněnka zůstává.
1943	The optimal constant with a consistent learning oracle	Hledá nejmenší konstantu v počtu chyb specifického orákulového modelu; obecná online naučitelnost má větší dosah.
2064	Dimension-free barycenters in positive-curvature CAT spaces	Rozšiřuje koncentrační odhad do konkrétního geometrického režimu; obecné statistické a metrické učicí bariéry mají přednost.
2115	Local SGD beating mini-batch SGD in one regime	Porovnává dvě metody při souběhu konkrétních hladkostních a heterogenních parametrů; jde o lokální algoritmický kompromis.
2255	Score-estimation rates above Holder smoothness one	Doplňuje hladkostní režim jedné neparametrické odhadové úlohy; obecné výpočetně-statistické bariéry mají větší prioritu.
2269	Exact local Glivenko-Cantelli deviations	Další přesná asymptotika maximální odchylky má menší dosah než hlavní vzorkové meze a obecná uniformní konvergence.
2275	VC bounds for a disagreement construction	Zpřesňuje pomocný vztah mezi dimenzemi jedné transformační konstrukce; hlavní vazby dimenzí na naučitelnost jsou zásadnější.
2461	Generalization-bound limitations for smooth SCO subclasses	Rozšiřuje omezení jedné analytické metody na další podtřídy funkcí; nejde o samotnou statistickou nebo výpočetní nemožnost učení.
2462	Unknown variances in fixed-budget best-arm identification	Doplňuje informační cenu jedné neznalosti v jednom rozpočtovém modelu; hlavní instance-optimal best-arm otázky ponechávám.
2573	Other natural PLC-complete problems	Žádá další příklady úplných problémů bez konkrétního kandidáta; to je budování repertoáru třídy, nikoli jedna zásadní domněnka.
2622	Randomized extension of PL-function lower bounds	Přenáší existující dolní mez do randomizovaného modelu navrženou technikou; jde o navazující rozšíření konkrétní analýzy.
2829	Structure of DPP maximum-likelihood kernels	Omezená velikost tréninkových podmnožin vede k technické domněnce o optimálním kernelu; obecná efektivní naučitelnost DPP má přednost.
2833	Hierarchical locality breaking neural approximation dimensionality	Tvrzení, že určitý princip je klíčový, bez přesně určené rodiny a meze není samostatná rozhodnutelná matematická otázka.
3109	Tight k-cover times for irreducible chains	Přesné pokrytí jednoho typu náhodné procházky je pomocná pravděpodobnostní veličina; hlavní bariéry učení Markovových modelů mají větší dosah.
3303	Minimum translational-embedding dimension of a DAG	Klasifikuje jednu reprezentaci relací v eukleidovském prostoru; obecná dimenzionální a reprezentační složitost má přednost.
3388	The strongest optimality notion in general environments	Hledání nejsilnější vhodné definice optimality nemá předem stanovené kritérium řešení; jde o výzkumný program.
3587	Noiseless sorted top-k after more than two rounds	Zbývající počet kol a přesná vzorková optimalita jedné pořadové úlohy jsou příliš specifické pro tento výběr.
3666	Efficient reinforcement-learning baselines	Návrh dobrých baseline estimátorů není jediný vymezený problém s cílovou mezí; obecné RL sample-complexity otázky jsou vhodnější.
3692	Robust proper-learning gaps for interesting neural classes	Bez konkrétní architektury a cílové separace jde o výzvu hledat další příklady obecného jevu.
4136	Automatic learning from restricted text presentations	One-one, balanced a exponential texty jsou speciální prezentační modely; obecná automatická naučitelnost má přednost.
4496	H-mixability versus S-alpha-mixability	Porovnává dvě zvláštní entropické podmínky pro ztráty; hlavní charakterizace dosažitelného regretu jsou zásadnější.
4629	Convergence rates in an approachability subframework	Uložený cíl je navázán na poslední model jednoho článku a neurčuje požadovanou rychlost; obecná approachability je širší problém.
4651	Mind-change speedups for natural automatic classes	Hledá nějaké „široké přirozené“ třídy bez stanovené cílové rodiny; jde o program hledání příkladů.
4807	Improving direct-sum bounds for some classes and distributions	Obecný problém direct sums zůstává v TCS-0671; tato položka žádá zlepšení u blíže neurčených speciálních případů.
4912	A probability assignment for general sequential log-loss classes	Výzva sestrojit a analyzovat prediktor neuvádí v uložené otázce cílovou redundanci nebo regret; nevymezuje další hlavní bariéru.
5003	Nesterov acceleration under deep-ReLU GD assumptions	Přenáší konvergenci z gradient descent na momentum při předpokladech jedné analýzy; obecné konvergenční bariéry neuronových sítí mají přednost.
5155	How about PAC learnability?	Výňatek pouze odkazuje na PAC naučitelnost a konečnou VC dimenzi, ale neříká, jaká otevřená vlastnost se má dokázat.
5156	The maximum poisoning range for bounded attackers	Zpřesňuje parametrický rozsah útoku v jednom výpočetně omezeném adversariálním modelu; obecná robustní naučitelnost má větší dosah.
5167	Distribution dependence of deep-learning power — second record	Tentýž otevřený problém je již reprezentován TCS-0664; další výňatek stejného zdroje samostatné místo nevyžaduje.
5214	Maximum separation for extended learning graphs	Optimalizuje sílu konkrétní kvantové algoritmické techniky; obecné dotazové separace mají přednost před mezerou uvnitř tohoto formalismu.
5248	A parity threshold in the bipartite SBM	Přesný detekční práh jedné speciální distribuce v bipartitním modelu je užší než hlavní planted-model a learning-parity bariéry.
5336	Selective-sampling rates for Holder extrema	Zpřesňuje minimaxový exponent odhadu extrémů při kombinaci hladkostních a geometrických parametrů; pro tento atlas je to příliš specifická statistická úloha.
5337	Lower-bound techniques for a stronger mean-estimation oracle	Uložená formulace popisuje nedostatek dosavadních technik, ale nezadává konkrétní požadovanou dolní mez; není to samostatný hlavní problém.
5381	Gap-entropy best-arm conjecture — second record	Konkrétní formulace ze stejného otevřeného problému doplňuje již ponechaný TCS-0687; druhý import nepočítám samostatně.
5510	Infinitely conservative iterated vector fields	Charakterizace speciálních vektorových polí je pomocná analytická otázka motivovaná federovaným učením, nikoli hlavní learning bariéra.
5531	Multiclass test-set overfitting — second record	Stejnou otázku již obsahuje TCS-0681; druhý záznam stejného COLT problému pouze opakuje jeho formulaci.
5545	A candidate counterexample to computable PAC learning	Zkoumá konkrétní navržený svědek. Hlavní otázku existence nenaučitelné konečně-VC třídy ponechává TCS-3113, takže kandidáta nepočítám zvlášť.
5547	Structure-agnostic partial-linear risk — second record	Jde o další import stejného problému jako TCS-0669; nepřidává odlišnou statistickou otázku.
5788	Vanilla robust PCA on particular model instances	Ptá se na úspěch jednoho konkrétního algoritmu v nastaveních článku; obecná robustní nízkohodnostní rekonstrukce má přednost.
5956	Using matrix structure for optimal probability reconstruction	Bez určení struktury matice a cílové meze je to obecný návrh výzkumného směru, nikoli jedna zásadní otázka.
6831	Finite-size compression for finite-VC classes	Ponechaný TCS-6541 formuluje silný lineární kompresní cíl; tento slabší zastřešující záznam nepočítám jako další hlavní kompresní problém.
7151	Explain fast neural-network optimization	Význam tématu je zásadní, ale vysvětlení rychlosti bez pevného modelu dat, algoritmu a meze nemá jedno kritérium vyřešení.
7152	Explain generalization of overparameterized networks	Nejde o jednu domněnku: chybí třída distribucí, trénovací pravidlo a požadovaná generalizační záruka. Do atlasu patří konkrétní bariéry tohoto programu.
