0448	Algebraic digit extraction	Jde o aritmetické primitivum pro konkrétní kryptografické implementace; záznam nevymezuje obecnou existenční nebo bezpečnostní bariéru.
0449	Amplifier polynomials for FHE	Hledání vhodných polynomů optimalizuje vnitřní součást homomorfního šifrování; základní předpoklady a možnosti FHE mají přednost.
0451	Parallelizing blind rotation	Paralelizace jedné bootstrappingové operace je důležitá pro výkon, ale je implementačním cílem uvnitř existujícího kryptosystému.
0457	Fast polynomial multiplication and decomposition	Dvojice obecných aritmetických optimalizací bez cílové meze nevymezuje samostatnou hlavní kryptografickou otázku.
1437	More unclonable primitives in MicroCrypt	Ptá se na další primitiva v jednom prostředí bez konkrétního cílového primitiva; jde o rozšiřování repertoáru konstrukcí.
1727	Sampling nondegenerate interior-format tensors	Zajišťuje konkrétní vlastnost klíčů jednoho tensorového kryptosystému; obecná tvrdost tensorové izomorfie má větší dosah.
3004	A local extractor for one delegation architecture	Extraktor je pomocnou komponentou konkrétního návrhu delegace; vyřešení by primárně dokončilo tuto konstrukční cestu.
4111	Using obfuscation to resolve the Black-Box Hypothesis	Otázka předepisuje nástroj k řešení jiné domněnky; samotnou Black-Box Hypothesis tím není důvod počítat ještě jednou.
4777	OWSG versus EFI or PRSG — second record	Stejný vztah kvantových primitiv již obsahuje TCS-1961 v kvantové kategorii; tento záznam stejného zdroje je opakování.
4805	Proofs of useful work from more standard assumptions	Neurčuje konkrétní užitečnou úlohu ani pevný předpoklad; jde o hledání další konstrukce aplikačního primitiva.
4830	Two randomized reducibilities for random-string complexity	Jemné rozlišení redukcí pro jednu Kolmogorovovu množinu má menší dosah než obecné vztahy metakomplexity a kryptografie.
4840	A signature-dependent cohomological parameter	Uložený výňatek obsahuje kvantifikátory nad signaturami a strukturami, ale chybí vlastní tvrzená vlastnost; samostatnou otázku nevymezuje.
4901	Probe-optimal reusable information-theoretic encryption	Požaduje přesný probe-overhead v současně bezstavovém a opakovaně použitelném modelu; hlavní existenční a předpokladové bariéry mají přednost.
4910	Hash-family failure at particular word sizes	Zpřesňuje pravděpodobnost selhání jedné hashovací konstrukční otázky v konkrétním slovním režimu; obecné hashovací a kryptografické bariéry jsou širší.
5074	Writable versus read-only card-based protocols	Separace manipulací s fyzickými kartami je specializovaný model; standardní bezpečný výpočet má pro atlas podstatně větší prioritu.
5137	Linear-resistant versus hinting PRGs	Vztah dvou odvozených primitiv je motivován jednou variantou secret sharingu; hlavní vztahy PRG, OWF a veřejnoklíčové kryptografie mají přednost.
5166	General access structures in probabilistic secret sharing	Formulace pouze říká, že obecný případ není znám, ale neurčuje míru, bezpečnost ani cílovou velikost; konkrétní share-size bariéry jsou vhodnější.
6951	Further cryptography from fine-grained assumptions	Bez konkrétní hypotézy a primitiva jde o výzkumný program. Jednotlivé přesné implikace by bylo možné hodnotit samostatně.
6986	Polycyclic conjugacy decision and a particular algorithm	Mísí obecný rozhodovací problém s analýzou Eickova–Ostheimerova postupu; vedle ponechaného conjugacy-search cíle TCS-6985 mu další prioritu nedávám.
6987	Complexity of polycyclic collection algorithms	Analyzuje normalizační proceduru uvnitř konkrétní grupové reprezentace; obecná tvrdost základních grupových úloh má větší význam.
