0032	Finding the entire glued-tree path	Kvantová výhoda na glued trees je důležitá, ale požadavek vypsat celou cestu je zvláštní výstupní varianta; obecnou hranici kvantového zrychlení nevystihuje.
0859	Position of a fanout gate in QAC0	Řeší umístění jedné brány v konkrétním obvodovém modelu. Přednost má obecná síla QAC0 a implementovatelnost fanoutu, které zůstávají zastoupené.
0863	Errors during non-Clifford logical gates	Záznam označuje oblast chyb při logických branách, ale nevymezuje konkrétní práh, nemožnost ani úlohu. Samostatné místo v žebříčku mu nelze věcně zdůvodnit.
1230	Full abstraction with non-affine classical control	Rozšiřuje plnou abstrakci jedné sémantiky stabilizátorových programů o další řídicí konstrukce; nepředkládá obecnou překážku sémantiky kvantových jazyků.
1543	Proper learning of QAC0 circuits	Jde o převedení již naučené aproximace zpět do požadované třídy obvodů. Obecný problém učení kvantových obvodů má pro atlas větší dosah.
1681	Embedded PermInv with in-place queries	Dolní mez se týká vložené inverze permutace a speciálního přístupu k orákulu; významnější je obecné porovnání standardních a mazacích kvantových orákul.
1735	Tight repetition bound for a quantum cloning game	Zpřesnění hodnoty opakování jedné klonovací hry je užší než obecný problém paralelního opakování provázaných her, který ponechávám.
1773	Public-coin proofs inside QIPUL	Otázka kombinuje prostorové omezení, konkrétní kvantovou třídu a nadlogaritmický počet veřejných mincí. Pro samostatné místo je příliš závislá na této kombinaci modelů.
1800	Additive-gap HGP distance in coNP	Hledá vhodné konstanty pro certifikaci vzdálenosti specifické rodiny kvantových kódů. Základní konstrukční a testovatelnostní problémy kvantových kódů mají přednost.
1864	Quantum testing in sparse directed graphs	Přenáší konkrétní dolní mez testování řídkých orientovaných grafů do kvantového modelu; samostatný zásadní důsledek nad rámec tohoto přenosu v záznamu není.
1881	Quantum catalytic space with imperfect resetting	Zkoumá variantu katalytické paměti s chybami při obnově. Nejprve má být zastoupena obecná síla katalytického prostoru, ne další volba jeho chybového modelu.
1950	Information-theoretic characterization of channel learning	Požaduje obecnou informačněteoretickou charakterizaci učení kanálů, ale neurčuje kandidátní veličinu ani testovatelné tvrzení; je to výzkumný program místo jedné otázky.
2200	Constant hierarchy level for a Quantum Max-Cut relation	Řeší, zda konkrétní relaci popíše konstantní úroveň relaxační hierarchie. To je pomocná geometrie jedné aproximační metody, nikoli samotná aproximační hranice Quantum Max-Cut.
2221	Other families with tuned pseudoentanglement	Žádá další rodiny stavů s již sledovaným typem pseudoentanglementu. Bez nové bariéry nebo silnějšího cíle jde o rozšíření repertoáru konstrukcí.
2398	Small-error entanglement-assisted equality	Optimalizuje závislost na malé chybě u equality v modelu se sdíleným provázáním; obecné separace kvantové a klasické komunikace představují výrazně větší problém.
2481	Quantum queries for a tournament king variant	Uzavírá exponentovou mezeru pro konkrétní turnajovou úlohu. Nejde o obecnou charakterizaci kvantových dotazů ani o centrální grafový algoritmický problém.
